,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
42,341.1144009590149,2.9070097463156093,0.38910889625549316,0.014133039990807146,200,6,1,60,True,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 60, 'bootstrap': True}",-6.755163235512048,-6.61539618490338,-6.665501723566313,-6.7095392891123975,-6.650078502452722,-6.679135787109372,0.048574676971363,4,-3.2555791718013944,-3.285430658531988,-3.277789448822356,-3.2591215283138557,-3.285043242937542,-3.272592810081427,0.012788807648354161
43,323.6802107810974,6.317463913093486,0.32020978927612304,0.0114844474254417,200,10,4,40,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 40, 'bootstrap': False}",-7.744460149525026,-7.524579028953683,-7.81449946898837,-7.502907742117306,-7.594653707250283,-7.636220019366934,0.12285204128778232,57,-4.4591977726810335,-4.501041455290102,-4.461186728705314,-4.4620569845508,-4.484820201537978,-4.473660628553046,0.01657505760790862
44,1814.4357697486878,24.56321766171325,2.161629486083984,0.8784595701394985,600,2,1,70,False,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 70, 'bootstrap': False}",-7.486765486494294,-7.391529911986094,-7.499595214523534,-7.426144937966086,-7.374146280956079,-7.435636366385216,0.05004281830090864,42,-0.08976256848186964,-0.08858871960860865,-0.09302853931510477,-0.1415506897377304,-0.08689927162650934,-0.09996595775396458,0.02088878500806088
45,179.5226590156555,3.0623169672342594,0.4557336330413818,0.01456805419400753,800,6,3,10,True,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 10, 'bootstrap': True}",-8.250768397510578,-8.143366152115757,-8.142136454841753,-8.230916897343759,-8.18384261793143,-8.190206103948658,0.04443045421239752,91,-7.9390459154472985,-7.983849060676057,-7.94562837565045,-7.9428557277530825,-7.9581883647789695,-7.953913488861171,0.01628726462517071
46,3419.6848563194276,63.24260399873008,5.9353752613067625,2.2708975933192033,1200,2,1,50,False,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 50, 'bootstrap': False}",-7.484802841950562,-7.394161624321192,-7.53405507147862,-7.477996706938353,-7.376670042911121,-7.453537257519969,0.059148887225028056,46,-0.452065483361541,-0.5501551974599633,-0.5125872458060484,-0.6894339827811266,-0.505206173411378,-0.5418896165640115,0.08013780464812156
47,963.0857294082641,62.39052056354777,1.298966646194458,0.03469693280633812,1200,6,3,20,False,"{'n_estimators': 1200, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': False}",-7.954485943387372,-7.655635232560092,-7.718820266042189,-7.737207804109361,-7.879713166727171,-7.789172482565237,0.11046095702388928,88,-6.327801096121003,-6.394927205860928,-5.979720071468185,-6.184821526836887,-6.291900179454951,-6.235834015948392,0.1449887086672118
48,3023.6805357933044,36.976460312047344,4.920569181442261,2.0556631394987677,1000,2,1,90,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 90, 'bootstrap': False}",-7.485253485613217,-7.392903899263184,-7.494505206425669,-7.411535123496044,-7.372793079644491,-7.431398158888522,0.049383801347778596,40,-0.08765633546736919,-0.08399884371494427,-0.09236851769454144,-0.09096309133257754,-0.0856228564032872,-0.08812192892254392,0.003148577214863123
49,360.60839738845823,5.003446379998783,0.3436113834381104,0.01047702402546214,200,10,3,50,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 50, 'bootstrap': False}",-7.846608419350214,-7.557954600018294,-7.688509502744712,-7.554538727794195,-7.550620371994164,-7.639646324380317,0.115813108047723,61,-4.004151155506175,-3.9628673972379476,-3.9880109931047065,-3.9886612076208907,-3.9909163544237947,-3.986921421578703,0.013383821040471255
50,2015.3178470134735,27.21753411209301,2.0508173942565917,0.06770667842064222,1000,6,3,60,False,"{'n_estimators': 1000, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 60, 'bootstrap': False}",-7.8682068713909805,-7.678740327423085,-7.742094581407697,-7.672781418883687,-7.6477568130853335,-7.721916002438158,0.07948097252518782,79,-3.28980431730966,-3.23878953676707,-3.3070105592049486,-3.2412170907758076,-3.3249519537646783,-3.2803546915644333,0.03477976535564763
51,284.32412614822385,0.642961678655699,0.3564962863922119,0.013308760722584719,200,2,3,70,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 70, 'bootstrap': True}",-6.985764695760261,-6.819134892522306,-6.908105620031286,-6.93870237596227,-6.879737176227329,-6.906288952100691,0.055984196095083864,16,-4.137861613918919,-4.146563575491491,-4.155124824621576,-4.121421349833484,-4.156818088897691,-4.143557890552632,0.012970234911948144
